#l b boxsize ext_law ejk ak error_ejk
5.0000 -0.4770 2 2 2.5633 1.3535 0.3967
5.0000 -0.5280 2 2 2.4425 1.2895 0.4015
5.0000 -0.5780 2 2 2.4022 1.2685 0.5531
5.0000 -0.6280 2 2 2.4345 1.2855 0.6542
5.0000 -0.6780 2 2 2.2865 1.2073 0.5847
5.0000 -0.7290 2 2 1.9867 1.0493 0.4267
5.0000 -0.7790 2 2 2.0015 1.0568 0.3700
5.0000 -0.8290 2 2 1.8460 0.9748 0.3721
5.0000 -0.8790 2 2 1.7588 0.9285 0.3439
5.0000 -0.9300 2 2 1.8330 0.9680 0.3961
5.0000 -0.9800 2 2 1.7793 0.9397 0.3255
5.0000 -1.0300 2 2 1.4635 0.7727 0.2475
5.0000 -1.0800 2 2 1.3062 0.6898 0.2327
5.0000 -1.1310 2 2 1.2528 0.6613 0.2242
5.0000 -1.1810 2 2 1.2428 0.6560 0.2054
5.0000 -1.2310 2 2 1.1507 0.6072 0.1799
5.0000 -1.2810 2 2 1.1145 0.5885 0.1941
5.0000 -1.3320 2 2 1.1653 0.6152 0.2113
5.0000 -1.3820 2 2 0.9925 0.5240 0.2357
5.0000 -1.4320 2 2 0.9380 0.4955 0.2073
5.0000 -1.4820 2 2 0.9542 0.5038 0.1938
5.0000 -1.5330 2 2 0.9340 0.4932 0.1670
5.0000 -1.5830 2 2 0.8387 0.4427 0.1846
5.0000 -1.6330 2 2 0.8462 0.4470 0.1833
5.0000 -1.6830 2 2 0.7945 0.4195 0.1816
5.0000 -1.7340 2 2 0.7963 0.4203 0.1632
5.0000 -1.7840 2 2 0.8225 0.4343 0.1503
5.0000 -1.8340 2 2 0.7843 0.4140 0.1722
5.0000 -1.8840 2 2 0.8698 0.4592 0.1826
5.0000 -1.9350 2 2 0.9487 0.5010 0.2195
5.0000 -1.9850 2 2 0.9667 0.5105 0.2519
5.0000 -2.0350 2 2 0.8507 0.4493 0.2156
5.0000 -2.0850 2 2 0.6707 0.3540 0.1643
5.0000 -2.1360 2 2 0.5207 0.2752 0.1258
5.0000 -2.1860 2 2 0.5155 0.2722 0.1126
5.0000 -2.2360 2 2 0.5377 0.2840 0.1174
5.0000 -2.2860 2 2 0.5305 0.2800 0.1124
5.0000 -2.3370 2 2 0.4970 0.2625 0.1265
5.0000 -2.3870 2 2 0.5290 0.2795 0.1115
5.0000 -2.4370 2 2 0.5343 0.2820 0.1158
5.0000 -2.4870 2 2 0.5028 0.2655 0.1248
5.0000 -2.5380 2 2 0.4477 0.2363 0.1072
5.0000 -2.5880 2 2 0.4355 0.2300 0.1038
5.0000 -2.6380 2 2 0.4425 0.2340 0.1076
5.0000 -2.6880 2 2 0.3945 0.2080 0.1047
5.0000 -2.7390 2 2 0.3840 0.2025 0.1016
5.0000 -2.7890 2 2 0.4120 0.2175 0.1143
5.0000 -2.8390 2 2 0.4745 0.2505 0.1244
5.0000 -2.8890 2 2 0.4355 0.2300 0.1130
5.0000 -2.9400 2 2 0.3955 0.2090 0.1066
5.0000 -2.9900 2 2 0.3675 0.1940 0.1061
5.0000 -3.0400 2 2 0.4070 0.2150 0.1096
5.0000 -3.0900 2 2 0.3955 0.2085 0.1035
5.0000 -3.1410 2 2 0.3495 0.1845 0.1019
5.0000 -3.1910 2 2 0.3395 0.1790 0.1042
5.0000 -3.2410 2 2 0.3220 0.1700 0.1020
5.0000 -3.2910 2 2 0.3150 0.1665 0.1024
5.0000 -3.3420 2 2 0.3245 0.1710 0.1019
5.0000 -3.3920 2 2 0.3160 0.1670 0.1004
5.0000 -3.4420 2 2 0.3150 0.1660 0.1046
5.0000 -3.4920 2 2 0.3155 0.1665 0.1007
5.0000 -3.5430 2 2 0.3270 0.1725 0.0990
5.0000 -3.5930 2 2 0.2990 0.1580 0.1020
5.0000 -3.6430 2 2 0.2707 0.1430 0.0997
5.0000 -3.6930 2 2 0.2747 0.1453 0.1007
5.0000 -3.7440 2 2 0.2908 0.1535 0.1048
5.0000 -3.7940 2 2 0.2885 0.1522 0.1032
5.0000 -3.8440 2 2 0.2898 0.1530 0.1027
5.0000 -3.8940 2 2 0.2848 0.1502 0.1035
5.0000 -3.9450 2 2 0.2873 0.1515 0.1032
5.0000 -3.9950 2 2 0.2895 0.1530 0.1028
5.0000 -4.0450 2 2 0.2260 0.1192 0.0998
5.0000 -4.0950 2 2 0.2058 0.1085 0.0988
